Function,us,ms,,Row Labels,Average of ms
App::run,324484,324.484,,App::run,12.25
App::run,11854,11.854,,Grand Total,12.24821325
App::run,10935,10.935,,,
App::run,11614,11.614,,,
App::run,10513,10.513,,,
App::run,11293,11.293,,,
App::run,10419,10.419,,,
App::run,11592,11.592,,,
App::run,11269,11.269,,,
App::run,11813,11.813,,,
App::run,14687,14.687,,,
App::run,11362,11.362,,,
App::run,10412,10.412,,,
App::run,10886,10.886,,,
App::run,11187,11.187,,,
App::run,12011,12.011,,,
App::run,10513,10.513,,,
App::run,11071,11.071,,,
App::run,10549,10.549,,,
App::run,11493,11.493,,,
App::run,10529,10.529,,,
App::run,10818,10.818,,,
App::run,11872,11.872,,,
App::run,11096,11.096,,,
App::run,12288,12.288,,,
App::run,17203,17.203,,,
App::run,10935,10.935,,,
App::run,11026,11.026,,,
App::run,10508,10.508,,,
App::run,11085,11.085,,,
App::run,12265,12.265,,,
App::run,10861,10.861,,,
App::run,13831,13.831,,,
App::run,12045,12.045,,,
App::run,22519,22.519,,,
App::run,13538,13.538,,,
App::run,11629,11.629,,,
App::run,12203,12.203,,,
App::run,11635,11.635,,,
App::run,15420,15.42,,,
App::run,11669,11.669,,,
App::run,11694,11.694,,,
App::run,14536,14.536,,,
App::run,12034,12.034,,,
App::run,22459,22.459,,,
App::run,11343,11.343,,,
App::run,10511,10.511,,,
App::run,11162,11.162,,,
App::run,10813,10.813,,,
App::run,12011,12.011,,,
App::run,10670,10.67,,,
App::run,12656,12.656,,,
App::run,11466,11.466,,,
App::run,12112,12.112,,,
App::run,11870,11.87,,,
App::run,11002,11.002,,,
App::run,11059,11.059,,,
App::run,10649,10.649,,,
App::run,11006,11.006,,,
App::run,10150,10.15,,,
App::run,12303,12.303,,,
App::run,10715,10.715,,,
App::run,11199,11.199,,,
App::run,18674,18.674,,,
App::run,11781,11.781,,,
App::run,12407,12.407,,,
App::run,11126,11.126,,,
App::run,11204,11.204,,,
App::run,11502,11.502,,,
App::run,12238,12.238,,,
App::run,10787,10.787,,,
App::run,11084,11.084,,,
App::run,11479,11.479,,,
App::run,11495,11.495,,,
App::run,11085,11.085,,,
App::run,11394,11.394,,,
App::run,11544,11.544,,,
App::run,10946,10.946,,,
App::run,10694,10.694,,,
App::run,11662,11.662,,,
App::run,11993,11.993,,,
App::run,11463,11.463,,,
App::run,11063,11.063,,,
App::run,12056,12.056,,,
App::run,11337,11.337,,,
App::run,11812,11.812,,,
App::run,10897,10.897,,,
App::run,11340,11.34,,,
App::run,10883,10.883,,,
App::run,11511,11.511,,,
App::run,11239,11.239,,,
App::run,11636,11.636,,,
App::run,11313,11.313,,,
App::run,10779,10.779,,,
App::run,10782,10.782,,,
App::run,11049,11.049,,,
App::run,10997,10.997,,,
App::run,11085,11.085,,,
App::run,10789,10.789,,,
App::run,10982,10.982,,,
App::run,11591,11.591,,,
App::run,11600,11.6,,,
App::run,11978,11.978,,,
App::run,10840,10.84,,,
App::run,11594,11.594,,,
App::run,11453,11.453,,,
App::run,11641,11.641,,,
App::run,10414,10.414,,,
App::run,11518,11.518,,,
App::run,12129,12.129,,,
App::run,10899,10.899,,,
App::run,11244,11.244,,,
App::run,10592,10.592,,,
App::run,11602,11.602,,,
App::run,12081,12.081,,,
App::run,15168,15.168,,,
App::run,11150,11.15,,,
App::run,11610,11.61,,,
App::run,11454,11.454,,,
App::run,12484,12.484,,,
App::run,12743,12.743,,,
App::run,11480,11.48,,,
App::run,11605,11.605,,,
App::run,10830,10.83,,,
App::run,10902,10.902,,,
App::run,11546,11.546,,,
App::run,15795,15.795,,,
App::run,16208,16.208,,,
App::run,11235,11.235,,,
App::run,11413,11.413,,,
App::run,11258,11.258,,,
App::run,10953,10.953,,,
App::run,11338,11.338,,,
App::run,11231,11.231,,,
App::run,11838,11.838,,,
App::run,11021,11.021,,,
App::run,11623,11.623,,,
App::run,10819,10.819,,,
App::run,12116,12.116,,,
App::run,10615,10.615,,,
App::run,10992,10.992,,,
App::run,11149,11.149,,,
App::run,10813,10.813,,,
App::run,12442,12.442,,,
App::run,10933,10.933,,,
App::run,11449,11.449,,,
App::run,11516,11.516,,,
App::run,11058,11.058,,,
App::run,10835,10.835,,,
App::run,10348,10.348,,,
App::run,11450,11.45,,,
App::run,11013,11.013,,,
App::run,11596,11.596,,,
App::run,10834,10.834,,,
App::run,11548,11.548,,,
App::run,11938,11.938,,,
App::run,15247,15.247,,,
App::run,11359,11.359,,,
App::run,11859,11.859,,,
App::run,11923,11.923,,,
App::run,11666,11.666,,,
App::run,11375,11.375,,,
App::run,11170,11.17,,,
App::run,12434,12.434,,,
App::run,10472,10.472,,,
App::run,11479,11.479,,,
App::run,11390,11.39,,,
App::run,11673,11.673,,,
App::run,10796,10.796,,,
App::run,11658,11.658,,,
App::run,12405,12.405,,,
App::run,11802,11.802,,,
App::run,11468,11.468,,,
App::run,10949,10.949,,,
App::run,10414,10.414,,,
App::run,11687,11.687,,,
App::run,11986,11.986,,,
App::run,12141,12.141,,,
App::run,11755,11.755,,,
App::run,11782,11.782,,,
App::run,12830,12.83,,,
App::run,12093,12.093,,,
App::run,12130,12.13,,,
App::run,12430,12.43,,,
App::run,12514,12.514,,,
App::run,10700,10.7,,,
App::run,11126,11.126,,,
App::run,10517,10.517,,,
App::run,11723,11.723,,,
App::run,11027,11.027,,,
App::run,11270,11.27,,,
App::run,11968,11.968,,,
App::run,11528,11.528,,,
App::run,12032,12.032,,,
App::run,10953,10.953,,,
App::run,10811,10.811,,,
App::run,11319,11.319,,,
App::run,11565,11.565,,,
App::run,13482,13.482,,,
App::run,12410,12.41,,,
App::run,11665,11.665,,,
App::run,11934,11.934,,,
App::run,10836,10.836,,,
App::run,12712,12.712,,,
App::run,12528,12.528,,,
App::run,12111,12.111,,,
App::run,12102,12.102,,,
App::run,11607,11.607,,,
App::run,11576,11.576,,,
App::run,11147,11.147,,,
App::run,11695,11.695,,,
App::run,12968,12.968,,,
App::run,10954,10.954,,,
App::run,11116,11.116,,,
App::run,11265,11.265,,,
App::run,12440,12.44,,,
App::run,11292,11.292,,,
App::run,10853,10.853,,,
App::run,11241,11.241,,,
App::run,11581,11.581,,,
App::run,12418,12.418,,,
App::run,12024,12.024,,,
App::run,10830,10.83,,,
App::run,11418,11.418,,,
App::run,10941,10.941,,,
App::run,11738,11.738,,,
App::run,11287,11.287,,,
App::run,11230,11.23,,,
App::run,11515,11.515,,,
App::run,11192,11.192,,,
App::run,10668,10.668,,,
App::run,11137,11.137,,,
App::run,11349,11.349,,,
App::run,11670,11.67,,,
App::run,11575,11.575,,,
App::run,11063,11.063,,,
App::run,11368,11.368,,,
App::run,11786,11.786,,,
App::run,11091,11.091,,,
App::run,12223,12.223,,,
App::run,11922,11.922,,,
App::run,11318,11.318,,,
App::run,11467,11.467,,,
App::run,11498,11.498,,,
App::run,10416,10.416,,,
App::run,10826,10.826,,,
App::run,11983,11.983,,,
App::run,11569,11.569,,,
App::run,11410,11.41,,,
App::run,10799,10.799,,,
App::run,10653,10.653,,,
App::run,11513,11.513,,,
App::run,11065,11.065,,,
App::run,11048,11.048,,,
App::run,10538,10.538,,,
App::run,11671,11.671,,,
App::run,10722,10.722,,,
App::run,10541,10.541,,,
App::run,10552,10.552,,,
App::run,11064,11.064,,,
App::run,11304,11.304,,,
App::run,12659,12.659,,,
App::run,12276,12.276,,,
App::run,11261,11.261,,,
App::run,11755,11.755,,,
App::run,11021,11.021,,,
App::run,11324,11.324,,,
App::run,11262,11.262,,,
App::run,10541,10.541,,,
App::run,10657,10.657,,,
App::run,11527,11.527,,,
App::run,11467,11.467,,,
App::run,11711,11.711,,,
App::run,10882,10.882,,,
App::run,10767,10.767,,,
App::run,11031,11.031,,,
App::run,11192,11.192,,,
App::run,11690,11.69,,,
App::run,13206,13.206,,,
App::run,12005,12.005,,,
App::run,11923,11.923,,,
App::run,11213,11.213,,,
App::run,12722,12.722,,,
App::run,14324,14.324,,,
App::run,14472,14.472,,,
App::run,11786,11.786,,,
App::run,12057,12.057,,,
App::run,11710,11.71,,,
App::run,11368,11.368,,,
App::run,11156,11.156,,,
App::run,10560,10.56,,,
App::run,11522,11.522,,,
App::run,10950,10.95,,,
App::run,11238,11.238,,,
App::run,11974,11.974,,,
App::run,10776,10.776,,,
App::run,11333,11.333,,,
App::run,11340,11.34,,,
App::run,11274,11.274,,,
App::run,10596,10.596,,,
App::run,11747,11.747,,,
App::run,11201,11.201,,,
App::run,11585,11.585,,,
App::run,11410,11.41,,,
App::run,11006,11.006,,,
App::run,11155,11.155,,,
App::run,11631,11.631,,,
App::run,11134,11.134,,,
App::run,10997,10.997,,,
App::run,10907,10.907,,,
App::run,11649,11.649,,,
App::run,10944,10.944,,,
App::run,10830,10.83,,,
App::run,10918,10.918,,,
App::run,11798,11.798,,,
App::run,11987,11.987,,,
App::run,11398,11.398,,,
App::run,11106,11.106,,,
App::run,10991,10.991,,,
App::run,11096,11.096,,,
App::run,11641,11.641,,,
App::run,11558,11.558,,,
App::run,11438,11.438,,,
App::run,11037,11.037,,,
App::run,12262,12.262,,,
App::run,11130,11.13,,,
App::run,11804,11.804,,,
App::run,11563,11.563,,,
App::run,11418,11.418,,,
App::run,15336,15.336,,,
App::run,10509,10.509,,,
App::run,10569,10.569,,,
App::run,12043,12.043,,,
App::run,10800,10.8,,,
App::run,11062,11.062,,,
App::run,11504,11.504,,,
App::run,11220,11.22,,,
App::run,11032,11.032,,,
App::run,10688,10.688,,,
App::run,10855,10.855,,,
App::run,11289,11.289,,,
App::run,11290,11.29,,,
App::run,11437,11.437,,,
App::run,11257,11.257,,,
App::run,11522,11.522,,,
App::run,10738,10.738,,,
App::run,12505,12.505,,,
App::run,10807,10.807,,,
App::run,11368,11.368,,,
App::run,11495,11.495,,,
App::run,11612,11.612,,,
App::run,10936,10.936,,,
App::run,11555,11.555,,,
App::run,11098,11.098,,,
App::run,11003,11.003,,,
App::run,10694,10.694,,,
App::run,10947,10.947,,,
App::run,11521,11.521,,,
App::run,12067,12.067,,,
App::run,11024,11.024,,,
App::run,10664,10.664,,,
App::run,10801,10.801,,,
App::run,12228,12.228,,,
App::run,11063,11.063,,,
App::run,10951,10.951,,,
App::run,11286,11.286,,,
App::run,11382,11.382,,,
App::run,11224,11.224,,,
App::run,11124,11.124,,,
App::run,12043,12.043,,,
App::run,11642,11.642,,,
App::run,11321,11.321,,,
App::run,11005,11.005,,,
App::run,10874,10.874,,,
App::run,10418,10.418,,,
App::run,11018,11.018,,,
App::run,10709,10.709,,,
App::run,10762,10.762,,,
App::run,11434,11.434,,,
App::run,10308,10.308,,,
App::run,11155,11.155,,,
App::run,10645,10.645,,,
App::run,12034,12.034,,,
App::run,12502,12.502,,,
App::run,10953,10.953,,,
App::run,11042,11.042,,,
App::run,11391,11.391,,,
App::run,12055,12.055,,,
App::run,11266,11.266,,,
App::run,11012,11.012,,,
App::run,11010,11.01,,,
App::run,11076,11.076,,,
App::run,11445,11.445,,,
App::run,11343,11.343,,,
App::run,11700,11.7,,,
App::run,11839,11.839,,,
App::run,11456,11.456,,,
App::run,10561,10.561,,,
App::run,11471,11.471,,,
App::run,10779,10.779,,,
App::run,12416,12.416,,,
App::run,10876,10.876,,,
App::run,12339,12.339,,,
App::run,10877,10.877,,,
App::run,11408,11.408,,,
App::run,11834,11.834,,,
App::run,11577,11.577,,,
App::run,15929,15.929,,,
App::run,12035,12.035,,,
App::run,11626,11.626,,,
App::run,11710,11.71,,,
App::run,11059,11.059,,,
App::run,11860,11.86,,,
App::run,11360,11.36,,,
App::run,11859,11.859,,,
App::run,10909,10.909,,,
App::run,11945,11.945,,,
App::run,11643,11.643,,,
App::run,12091,12.091,,,
App::run,11151,11.151,,,
App::run,12207,12.207,,,
App::run,11155,11.155,,,
App::run,12107,12.107,,,
App::run,12583,12.583,,,
App::run,12110,12.11,,,
App::run,10628,10.628,,,
App::run,12393,12.393,,,
App::run,11423,11.423,,,
App::run,12082,12.082,,,
App::run,10929,10.929,,,
App::run,12411,12.411,,,
App::run,11200,11.2,,,
App::run,12308,12.308,,,
App::run,11427,11.427,,,
App::run,12434,12.434,,,
App::run,11861,11.861,,,
App::run,12486,12.486,,,
App::run,11048,11.048,,,
App::run,12515,12.515,,,
App::run,11530,11.53,,,
App::run,12630,12.63,,,
App::run,10876,10.876,,,
App::run,13164,13.164,,,
App::run,11387,11.387,,,
App::run,12725,12.725,,,
App::run,11095,11.095,,,
App::run,12657,12.657,,,
App::run,11555,11.555,,,
App::run,12485,12.485,,,
App::run,12071,12.071,,,
App::run,12690,12.69,,,
App::run,11070,11.07,,,
App::run,12754,12.754,,,
App::run,12227,12.227,,,
App::run,11661,11.661,,,
App::run,11317,11.317,,,
App::run,11544,11.544,,,
App::run,12377,12.377,,,
App::run,12750,12.75,,,
App::run,11985,11.985,,,
App::run,11856,11.856,,,
App::run,11602,11.602,,,
App::run,11140,11.14,,,
App::run,12070,12.07,,,
App::run,11169,11.169,,,
App::run,11050,11.05,,,
App::run,11229,11.229,,,
App::run,11148,11.148,,,
App::run,11451,11.451,,,
App::run,11105,11.105,,,
App::run,11082,11.082,,,
App::run,11224,11.224,,,
App::run,11306,11.306,,,
App::run,11335,11.335,,,
App::run,11474,11.474,,,
App::run,11143,11.143,,,
App::run,12686,12.686,,,
App::run,10866,10.866,,,
App::run,11291,11.291,,,
App::run,11480,11.48,,,
App::run,11530,11.53,,,
App::run,11867,11.867,,,
App::run,12450,12.45,,,